SB,MIS,AA,EID,EKD,OD,SS
20,50,0.7,7.65239207152213e-05,0.002633227949172312,0.0007333926850592754,4.336808689942018e-20
20,50,0.7,0.003042084220098662,0.020846788843762898,0.009717625348643556,6.938893903907229e-19
20,50,0.7,0.03313549408015648,0.5267639124381351,0.25366778036746007,0.0
20,50,0.7,0.6499231147026632,2.715084275324291,1.9173883895998707,4.4408920985006264e-17
20,50,0.7,0.001431501085324971,0.013248404746164955,0.004497467218652762,3.4694469519536144e-19
20,50,0.7,0.019009764201119328,0.14367351699198894,0.05401521969808778,0.0
20,50,0.7,0.21642597650429396,2.382990084809919,1.1810208141231648,4.4408920985006264e-17
20,50,0.7,1.7837347450530712,3.3485918339331566,2.716940566249305,0.0
20,50,0.7,0.015595144996073618,0.301134516890635,0.11637576014883963,5.551115123125783e-18
20,50,0.7,0.7028991003994034,2.0146386359797614,1.292871798329688,1.7763568394002506e-16
20,50,0.7,2.15642046688992,3.48021137132432,2.7210136567823593,8.881784197001253e-17
20,50,0.7,2.6204435905887036,4.400547818262616,3.6165987374184416,8.881784197001253e-17
20,50,0.7,0.8394637101816298,2.664343078996698,1.7871746182552861,1.3322676295501878e-16
20,50,0.7,1.416594814314586,3.5277762664449424,2.6899587511728353,0.0
20,50,0.7,2.451398875242291,3.9772396644406,3.1268706316796893,2.6645352591003756e-16
20,50,0.7,3.507392737077087,4.1615162378603685,3.834925534926691,0.0
20,50,0.8,0.004412885274068135,0.04027301583022025,0.01577482268509458,1.3877787807814458e-18
20,50,0.8,0.03888451377304891,0.21222184468190664,0.10194996922629018,0.0
20,50,0.8,0.34980639410850545,1.9624641900235535,1.1146702273283726,4.4408920985006264e-17
20,50,0.8,0.7811079298590831,3.1799903153871303,2.2858291851507873,0.0
20,50,0.8,0.02155394549292966,0.19887398043814075,0.08869096976501582,2.7755575615628915e-18
20,50,0.8,0.17205746257765897,0.8520692534276937,0.4856756945956672,1.1102230246251565e-16
20,50,0.8,1.0519451695855904,3.3268810848151813,2.458276642456366,2.6645352591003756e-16
20,50,0.8,1.9253664422082868,4.116814117062113,3.054626989160191,3.552713678800501e-16
20,50,0.8,0.07348170255538777,2.0504094293015602,0.6573040598298938,8.881784197001253e-17
20,50,0.8,0.9358205971115514,3.28385138309816,2.0462618896186617,2.6645352591003756e-16
20,50,0.8,2.5782674562348196,4.0757506933997725,2.9597135525037905,1.3322676295501878e-16
20,50,0.8,1.5694207935745372,4.544710834060432,3.2120830407699144,2.220446049250313e-16
20,50,0.8,1.1097094301279111,2.994816594613934,2.2628153961098976,8.881784197001253e-17
20,50,0.8,1.4557644613000105,4.121888986714474,2.981237155780872,2.220446049250313e-16
20,50,0.8,2.4742089000323984,4.547418017358442,3.641209381387462,3.552713678800501e-16
20,50,0.8,2.400199763727166,5.466250837654947,3.7934297099196073,2.6645352591003756e-16
20,50,0.9,0.0927850053089796,0.5835381926096841,0.2567701458169872,2.2204460492503132e-17
20,50,0.9,0.2099850900622724,2.1542866755026115,0.8384260237971638,7.771561172376095e-17
20,50,0.9,0.8818580257589024,3.212558566396958,1.8783915182342548,0.0
20,50,0.9,0.9671972377891582,3.6949497359500545,2.8434556787884175,1.7763568394002506e-16
20,50,0.9,0.19488180228577834,1.5132382025712592,0.8368221569610877,1.1102230246251565e-16
20,50,0.9,0.6338870198517808,2.854423032513911,1.798690241923964,8.881784197001253e-17
20,50,0.9,0.46840375538588264,3.650026826639927,2.210854911843099,8.881784197001253e-17
20,50,0.9,2.1629530237583556,4.839984894160885,3.586999405465722,8.881784197001253e-17
20,50,0.9,0.2590588757658918,3.1511570038853525,1.9289883334605111,8.881784197001253e-17
20,50,0.9,1.673301919463754,3.922713222697443,3.0190177968343557,8.881784197001253e-17
20,50,0.9,1.4305644330733505,3.947062315511094,2.85879335428972,0.0
20,50,0.9,2.681760146319452,5.40903043620796,3.8896277352376147,6.217248937900876e-16
